City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Vieira De Leiria,PT,2021-08-04 03:04:45,39.8695,-8.9324,66.67,94,100,5.95
94,Geraldton,AU,2021-08-04 03:04:46,-28.7667,114.6,57.61,67,0,16.11
95,Pittsburgh,US,2021-08-04 03:01:11,40.4406,-79.9959,71.13,76,59,1.05
96,Vanimo,PG,2021-08-04 03:04:46,-2.6741,141.3028,85.33,69,19,6.44
97,Airai,TL,2021-08-04 03:04:46,-8.9266,125.4092,75.31,41,100,4.92
98,Bluff,NZ,2021-08-04 03:04:47,-46.6,168.3333,46.8,62,100,4.45
99,Leninskoye,KZ,2021-08-04 03:04:47,41.7589,69.3864,80.53,20,3,2.75
100,Hirado,JP,2021-08-04 03:04:48,33.3597,129.5531,88.36,70,59,4.65
101,Aklavik,CA,2021-08-04 03:04:48,68.2191,-135.0107,62.29,36,0,5.23
102,Chokurdakh,RU,2021-08-04 03:04:48,70.6333,147.9167,57.47,31,29,13.29
103,Lebu,CL,2021-08-04 03:04:49,-37.6167,-73.65,50.49,90,6,5.53
104,Muroto,JP,2021-08-04 03:04:49,33.2833,134.15,82.71,81,38,11.27
105,Caravelas,BR,2021-08-04 03:04:49,-17.7125,-39.2481,68.14,84,67,5.17
106,Birao,CF,2021-08-04 03:04:50,10.2849,22.7882,68.77,98,100,4.18
107,Cabo Rojo,PR,2021-08-04 03:04:50,18.0866,-67.1457,81.68,88,30,1.01
108,Makakilo City,US,2021-08-04 03:04:51,21.3469,-158.0858,86.32,50,1,12.66
109,Komsomolskiy,UZ,2021-08-04 03:04:51,40.4272,71.7189,83.12,32,1,4.61
110,Kodiak,US,2021-08-04 03:04:51,57.79,-152.4072,56.71,82,90,8.05
111,Temyasovo,RU,2021-08-04 03:04:52,52.9933,58.1014,68.36,45,44,3.04
112,Narsaq,GL,2021-08-04 03:04:52,60.9167,-46.05,44.82,97,100,3.42
113,Khatanga,RU,2021-08-04 03:04:52,71.9667,102.5,76.08,44,100,12.66
114,Olafsvik,IS,2021-08-04 03:04:53,64.8945,-23.7142,53.37,91,95,8.32
115,Valparaiso,CL,2021-08-04 03:01:52,-33.0393,-71.6273,50.47,82,0,3.29
116,Bani Walid,LY,2021-08-04 03:04:53,31.7566,13.9942,75.13,63,0,1.36
117,Kavieng,PG,2021-08-04 03:04:54,-2.5744,150.7967,84.0,71,19,2.8
118,Norman Wells,CA,2021-08-04 03:04:54,65.282,-126.8329,55.27,76,100,2.33
119,Poway,US,2021-08-04 03:01:40,32.9628,-117.0359,86.5,66,1,1.01
120,Blagoyevo,RU,2021-08-04 03:04:54,63.3667,47.9167,59.0,90,100,5.28
121,Kodinar,IN,2021-08-04 03:04:55,20.7903,70.7031,81.07,86,100,19.86
122,Anloga,GH,2021-08-04 03:04:55,5.7947,0.8973,76.48,90,100,14.56
123,Nemuro,JP,2021-08-04 03:03:00,43.3236,145.575,66.49,94,91,7.18
124,Kathu,TH,2021-08-04 03:04:55,7.9178,98.3332,85.69,86,100,19.91
125,Kaitangata,NZ,2021-08-04 03:04:56,-46.2817,169.8464,50.94,57,87,8.81
126,Qaanaaq,GL,2021-08-04 03:04:56,77.484,-69.3632,42.4,95,100,1.79
127,Kaspiyskiy,RU,2021-08-04 03:04:57,45.3929,47.3707,82.8,43,3,4.97
128,Dandong,CN,2021-08-04 03:04:57,40.1292,124.3947,80.1,81,99,10.13
129,Bonavista,CA,2021-08-04 03:04:57,48.6499,-53.1147,62.11,83,30,17.27
130,Nuuk,GL,2021-08-04 03:04:58,64.1835,-51.7216,47.01,93,90,10.36
131,Impfondo,CG,2021-08-04 03:02:15,1.6381,18.0667,73.35,74,84,1.25
132,Ravar,IR,2021-08-04 03:04:58,31.2656,56.8055,84.02,12,100,2.44
133,Verkhnetulomskiy,RU,2021-08-04 03:04:58,68.6073,31.7962,48.33,96,100,15.66
134,Katsuura,JP,2021-08-04 03:04:59,35.1333,140.3,91.51,68,5,5.93
135,Roald,NO,2021-08-04 03:04:59,62.5833,6.1333,55.17,87,90,3.44
136,Luangwa,ZM,2021-08-04 03:04:59,-15.6167,30.4167,53.71,68,0,1.41
137,Kahului,US,2021-08-04 03:05:00,20.8947,-156.47,83.46,79,40,27.63
138,Hithadhoo,MV,2021-08-04 03:05:00,-0.6,73.0833,81.82,75,100,7.9
139,Terme,TR,2021-08-04 03:05:01,41.2092,36.9739,77.97,84,0,3.71
140,Bambanglipuro,ID,2021-08-04 03:05:01,-7.95,110.2833,82.38,74,64,12.1
141,Puerto Baquerizo Moreno,EC,2021-08-04 03:05:03,-0.9,-89.6,69.39,78,6,7.67
142,Talara,PE,2021-08-04 03:05:03,-4.5772,-81.2719,64.78,89,31,7.72
143,Kandrian,PG,2021-08-04 03:05:04,-6.2167,149.55,83.28,75,54,5.68
144,Rodionovo-Nesvetayskaya,RU,2021-08-04 03:05:04,47.6103,39.7121,79.56,73,62,5.7
145,Pemangkat,ID,2021-08-04 03:05:04,1.1667,108.9667,85.32,70,51,3.85
146,Saint-Philippe,RE,2021-08-04 03:05:05,-21.3585,55.7679,65.79,86,97,18.16
147,Pokhara,NP,2021-08-04 03:05:05,28.2333,83.9833,79.05,80,92,3.24
148,Price,US,2021-08-04 03:01:13,39.5994,-110.8107,73.42,32,0,12.03
149,Ribeira Grande,PT,2021-08-04 03:05:06,38.5167,-28.7,72.01,88,2,4.79
150,Ewa Beach,US,2021-08-04 03:05:06,21.3156,-158.0072,87.75,51,1,12.66
151,Chapais,CA,2021-08-04 03:05:07,49.7834,-74.8492,46.89,78,75,3.0
