City_ID,City,Country,Lat,Lng,Max Temp F°,Humidity %,Cloudiness %,Wind Speed mph,Weather Description
145,Soyo,AO,-6.1349,12.3689,71.35,94,29,7.76,scattered clouds
146,Jinsha,CN,32.0898,121.0735,90.0,63,52,13.31,light rain
147,Cabo San Lucas,MX,22.8909,-109.9124,88.52,77,40,11.01,scattered clouds
148,Nueve De Julio,AR,-35.4444,-60.8831,48.7,64,0,7.45,clear sky
149,Hambantota,LK,6.1241,81.1185,82.74,89,20,13.8,few clouds
150,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,39,0,2.3,clear sky
151,Truth Or Consequences,US,33.1284,-107.2528,89.83,30,1,13.8,clear sky
152,Ancud,CL,-41.8697,-73.8203,40.42,72,40,5.73,scattered clouds
153,Tromso,NO,69.6496,18.957,47.05,87,75,3.44,broken clouds
154,Shemysheyka,RU,52.892,45.3928,64.33,96,100,5.48,moderate rain
155,Peniche,PT,39.3558,-9.3811,67.62,93,100,8.46,overcast clouds
156,Cidreira,BR,-30.1811,-50.2056,57.76,89,100,1.95,overcast clouds
157,Yulara,AU,-25.2406,130.9889,57.04,41,0,13.8,clear sky
158,Tigil,RU,57.8,158.6667,53.69,54,100,11.63,overcast clouds
159,Prainha,BR,-1.8,-53.48,74.62,69,98,2.13,overcast clouds
160,Kedrovyy,RU,56.1667,91.8167,61.21,80,97,1.88,overcast clouds
161,Minot,US,48.2325,-101.2963,84.42,28,1,6.91,smoke
162,Sabang,ID,5.8933,95.3214,82.99,73,100,22.26,overcast clouds
163,Dawson,US,31.7735,-84.4466,80.02,86,5,6.17,clear sky
164,Moyale,KE,3.5167,39.0584,64.22,67,90,12.28,overcast clouds
165,Orlik,RU,52.5178,99.825,65.08,49,2,1.3,clear sky
166,Daru,PG,-9.0763,143.2092,80.64,76,87,9.98,overcast clouds
167,Pierre,US,44.3683,-100.351,80.85,50,1,7.0,clear sky
168,Qandala,SO,11.472,49.8728,87.28,48,64,11.5,broken clouds
169,Puqi,CN,29.7167,113.8833,90.7,62,3,9.4,clear sky
170,Buraydah,SA,26.326,43.975,82.85,14,6,7.05,clear sky
171,Vila Velha,BR,-20.3297,-40.2925,64.35,94,0,3.44,clear sky
172,Rabat,MA,33.9911,-6.8401,71.01,93,75,0.0,broken clouds
173,Praya,CV,14.9215,-23.5087,77.54,94,75,3.44,broken clouds
174,Aksarka,RU,66.5606,67.7975,63.16,64,0,4.94,clear sky
175,Placido De Castro,BR,-10.3353,-67.1856,71.1,44,3,2.82,clear sky
176,San Jose,US,37.3394,-121.895,91.26,43,1,4.0,clear sky
177,Nantucket,US,41.2835,-70.0995,71.71,91,20,6.91,light rain
178,Kyaikkami,MM,16.08,97.5675,80.56,86,96,10.4,overcast clouds
179,Chara,RU,56.9064,118.2631,63.55,64,60,1.5,broken clouds
180,Hofn,IS,64.2539,-15.2082,53.73,83,100,2.53,overcast clouds
181,Sisimiut,GL,66.9395,-53.6735,47.66,89,54,4.38,broken clouds
182,Iranshahr,IR,27.2025,60.6848,89.94,31,4,0.0,clear sky
183,Pozo Colorado,PY,-23.4923,-58.7972,56.64,42,100,5.95,overcast clouds
184,Turukhansk,RU,65.8167,87.9833,69.01,63,12,8.99,few clouds
185,Carnarvon,AU,-24.8667,113.6333,64.47,33,0,14.97,clear sky
186,Dakar,SN,14.6937,-17.4441,78.93,94,40,4.61,scattered clouds
187,Touros,BR,-5.1989,-35.4608,72.5,83,100,15.39,overcast clouds
188,Qasigiannguit,GL,68.8193,-51.1922,44.85,89,76,1.16,broken clouds
189,Fuerte Olimpo,PY,-21.0415,-57.8738,65.57,32,90,5.95,overcast clouds
190,Yuncheng,CN,35.0231,110.9928,86.45,55,77,2.55,light rain
191,Barcelos,PT,41.5388,-8.6151,67.28,95,98,1.25,overcast clouds
192,Olafsvik,IS,64.8945,-23.7142,53.37,91,95,8.32,overcast clouds
193,Nanakuli,US,21.3906,-158.1547,87.75,45,20,9.22,few clouds
194,Sioux Lookout,CA,50.1001,-91.917,79.18,78,90,5.75,smoke
195,Labuhan,ID,-6.8844,112.2051,85.08,64,8,3.56,clear sky
196,Hobart,AU,-42.8794,147.3294,57.06,56,40,1.99,scattered clouds
197,Anchorage,US,61.2181,-149.9003,71.2,75,75,1.01,broken clouds
198,Idrinskoye,RU,54.3708,92.1358,70.14,74,26,3.76,scattered clouds
199,Moosomin,CA,50.1333,-101.6677,73.47,47,100,6.93,overcast clouds
200,Mulege,MX,26.8833,-111.9833,90.28,54,13,3.13,few clouds
201,Vardo,NO,70.3705,31.1107,48.4,96,100,35.14,light rain
202,Beidao,CN,34.5686,105.8933,76.5,57,99,3.38,overcast clouds
203,Panama City,PA,8.9936,-79.5197,80.06,92,75,3.44,broken clouds
204,Taltal,CL,-25.4,-70.4833,57.67,79,34,2.55,scattered clouds
205,Verkhoyansk,RU,67.5447,133.385,72.23,23,0,11.18,clear sky
206,Rio Gallegos,AR,-51.6226,-69.2181,44.65,49,75,18.41,broken clouds
207,Jackson,US,42.4165,-122.8345,93.07,31,1,4.61,smoke
208,Victoria,HK,22.2855,114.1577,89.96,77,80,5.01,light rain
