City_ID,City,Country,Max Temp F°,Weather Description,Lat,Lng,Hotel Name
323,Mandello Del Lario,IT,68.63,overcast clouds,45.9192,9.3193,Ristorante Grigna
325,Trinidad,BO,74.41,clear sky,-14.8333,-64.9,Hotel Piesta
326,Nalut,LY,88.14,clear sky,30.3333,10.85, 
327,Sao Domingos,BR,70.54,few clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
329,Kashmor,PK,87.76,clear sky,28.4333,69.5833,Shah Madina Hotel
330,Sabla,NG,77.07,few clouds,12.7525,4.7077, 
331,Talas,TR,66.87,clear sky,38.6908,35.5538,Fimaj Residence
332,Aklavik,CA,63.32,few clouds,68.2191,-135.0107,Aklavik Inn
333,Itaituba,BR,83.05,overcast clouds,-4.2761,-55.9836,Hotel Campos
334,Elmadag,TR,73.35,clear sky,39.9208,33.2308,buluş apartmanı
335,Pabna,BD,83.75,overcast clouds,24.0,89.25,Hotel Dream Palace International
336,Nushki,PK,79.59,clear sky,29.5542,66.0215,Shams hotel
339,Fonte Boa,BR,75.24,overcast clouds,-2.4959,-66.2662, 
340,Shelburne,CA,70.56,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
341,Cheyenne,US,82.9,clear sky,41.14,-104.8203,The Historic Plains Hotel & Restaurant
343,Chicama,PE,63.14,clear sky,-7.8447,-79.1469,Balihai Bungalows
344,Marawi,PH,81.64,overcast clouds,7.9986,124.2928,Derogongan Residence
345,Newport,GB,61.86,overcast clouds,51.5877,-2.9984,ibis budget Newport
347,Villarrica,PY,64.67,overcast clouds,-25.75,-56.4333,Mansión Reljuv Tours SA
348,Bandipur,NP,70.34,overcast clouds,27.9333,84.4167,Bandipur Guest House
349,Meulaboh,ID,77.85,overcast clouds,4.1363,96.1285,Kost Pria
350,Mayumba,GA,72.9,few clouds,-3.432,10.6554,LIKWALE LODGE
353,Maniwaki,CA,68.54,scattered clouds,46.3834,-75.966,Centre Chateau Logue
354,Dondo,MZ,60.93,clear sky,-19.6094,34.7431,Arco Iris
355,Jarinu,BR,61.25,overcast clouds,-23.1014,-46.7283,Hotel Fazenda Pirâmides
356,San Nicolas,PH,81.37,overcast clouds,18.1725,120.5953,NORTHVIEW Hotel
357,Horta,PT,72.63,scattered clouds,38.5333,-28.6333,Hotel do Canal | Horta - Faial
358,Brazzaville,CG,71.91,clear sky,-4.2658,15.2832,Hotel Muesse
359,Namatanai,PG,81.77,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
360,Ambulu,ID,78.24,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
361,Lata,PT,65.05,broken clouds,40.1629,-8.3327,Casa Maquia
362,Dillon,US,78.49,scattered clouds,34.4166,-79.3712,Dillon Express Inn
363,Roebourne,AU,70.5,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
364,Flinders,AU,67.37,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
365,Aden,YE,83.5,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
366,Poum,NC,69.39,overcast clouds,-20.2333,164.0167,Gîte kajeon
367,Karakulino,RU,60.3,overcast clouds,56.012,53.7067,Gostinitsa Mayak Karakulino
368,Vanavara,RU,66.31,overcast clouds,60.34,102.2797, 
369,Pontian Kecil,MY,86.38,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
370,Colares,PT,67.68,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
371,Touros,BR,76.1,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
372,Bose,IT,65.21,overcast clouds,45.4612,8.0137,Locanda Borgo Antico
373,Syracuse,IT,80.62,few clouds,37.0881,15.2792,Hotel Posta
374,Saint-Augustin,CA,62.49,overcast clouds,51.226,-58.6502, 
375,Conegliano,IT,68.5,light rain,45.8906,12.2925,Cristallo
376,Leninskoye,KZ,76.93,clear sky,41.7589,69.3864, 
379,Macas,EC,64.78,scattered clouds,-2.3167,-78.1167,Casa Upano
380,Dingle,PH,86.18,light rain,10.9995,122.6711,SEGAYA PROPERTY
381,Portland,US,85.6,smoke,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
382,Kaspiyskiy,RU,80.87,clear sky,45.3929,47.3707,"Gostinitsa ""Gostevoy Dvor"""
383,Monroe,US,72.48,few clouds,43.1501,-77.6831,"Staybridge Suites Rochester University, an IHG Hotel"
384,Komsomolskiy,UZ,75.92,scattered clouds,40.4272,71.7189,Ikathouse
386,Groton,US,69.89,broken clouds,41.3501,-72.0784,Red Roof Inn Mystic - New London
387,Trat,TH,80.38,overcast clouds,12.5,102.5,สวนหนิง-อัศ
388,Mae Sot,TH,78.75,broken clouds,16.7167,98.5667,Suan Darb Porn Resort (บ้านสวนดาบพรรีสอร์ท)
389,Lagoa,PT,72.7,clear sky,39.05,-27.9833,Casa Das Faias
390,Sfantu Gheorghe,RO,66.27,overcast clouds,45.8667,25.7833,Hotel Park
392,Meiganga,CM,63.75,overcast clouds,6.5167,14.3,DFR HOUSE
393,Benjamin Constant,BR,77.13,overcast clouds,-4.3831,-70.0311,CASA AVALIADA
394,Nabire,ID,84.61,few clouds,-3.3667,135.4833,Hotel Nusantara Nabire
395,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
397,Atambua,ID,80.38,broken clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
399,Zhuhai,CN,84.11,few clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
400,Kanor,IN,79.16,moderate rain,24.4333,74.2667,SCS KANOD
402,Ucluelet,CA,79.05,overcast clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
404,Ponerihouen,NC,74.61,overcast clouds,-21.0833,165.4,Camping de Tiakan
408,Ribeira Brava,PT,77.0,scattered clouds,32.65,-17.0667,Hotel do Campo
409,Mingguang,CN,83.23,clear sky,32.7802,117.9638,Yonghao Hotel
412,Ejby,DK,60.73,overcast clouds,55.4858,12.0817,AD Apartment
413,Ca Mau,VN,83.3,overcast clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
414,Hovd,MN,65.41,clear sky,48.0056,91.6419,Hotel Khovd
415,Antalaha,MG,66.85,broken clouds,-14.9003,50.2788,Hotel Vitasoa
416,Areosa,PT,66.24,scattered clouds,41.7178,-8.8571,Hotel Flôr de Sal
419,Canto Do Buriti,BR,76.37,clear sky,-8.11,-42.9444,Novo Hotel
420,Panipat,IN,80.91,clear sky,29.3889,76.9681,SPOT ON 68644 Shri Shyam Guest House
421,Isangel,VU,69.91,overcast clouds,-19.55,169.2667,Tanna Lodge
422,Chisec,GT,72.88,broken clouds,15.8167,-90.2833,Hotel Estancia De La Virgen
423,Eyl,SO,76.64,scattered clouds,7.9803,49.8164,Amiin Hotel
425,Partizanskoye,RU,61.97,overcast clouds,55.5006,94.39,Uyut
426,Weston,US,86.02,clear sky,26.1004,-80.3998,Courtyard by Marriott Fort Lauderdale Weston
427,Petropavlovsk-Kamchatskiy,RU,63.19,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
428,Galle,LK,78.53,overcast clouds,6.0367,80.217,Amangalla
429,Shingu,JP,86.99,heavy intensity rain,33.7333,135.9833,Shingu UI Hotel
430,Hudson Bay,CA,76.26,few clouds,52.85,-102.3842,Norwood Motel LTD
431,Novikovo,RU,65.5,few clouds,51.1537,37.8879, 
434,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
435,Port Hedland,AU,71.65,broken clouds,-20.3167,118.5667,The Esplanade Hotel
436,Celestun,MX,82.89,clear sky,20.8667,-90.4,Posada Lilia
437,Parabel,RU,62.22,scattered clouds,58.6978,81.4825,Housing Complex Gazprom Transgaz Tomsk
438,Morant Bay,JM,83.82,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
441,Dickinson,US,85.15,scattered clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
443,Omboue,GA,74.28,clear sky,-1.5746,9.2618,Hotel Olako
444,Alim,PH,84.18,overcast clouds,9.5649,122.4876,Calamai Tropica
445,Shieli,KZ,81.23,clear sky,44.1667,66.75,Gostinitsa Aybek Shieli
446,Pundaguitan,PH,83.57,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
447,Torrevieja,ES,78.39,clear sky,37.9787,-0.6822,Hotel Fontana Plaza
448,Pacific Grove,US,83.16,broken clouds,36.6177,-121.9166,Lovers Point Inn
